"register_name","enum_name","bits","bit_name","value","mask","description"
"DISPCNT",,31,"obj_extended_palette",1,,
"DISPCNT",,30,"bg_extended_palette",1,,
"DISPCNT",,"29-27","bg_screen_base_offset",,"0b111",
"DISPCNT",,"26-24","bg_character_base_offset",,"0b111",
"DISPCNT",,23,"obj_processing_during_h_blank_period",1,,
"DISPCNT","obj_vram_capacity",22,"128kb",0,,
"DISPCNT","obj_vram_capacity",22,"256kb",1,,
"DISPCNT","character_vram_capacity","21-20","32kb","0b00",,
"DISPCNT","character_vram_capacity","21-20","64kb","0b01",,
"DISPCNT","character_vram_capacity","21-20","128kb","0b10",,
"DISPCNT","character_vram_capacity","21-20","256kb","0b11",,
"DISPCNT","display_vram_block","19-18","vram_a","0b00",,
"DISPCNT","display_vram_block","19-18","vram_b","0b01",,
"DISPCNT","display_vram_block","19-18","vram_c","0b10",,
"DISPCNT","display_vram_block","19-18","vram_d","0b11",,
"DISPCNT","display_mode","17-16","display_off",0,,
"DISPCNT","display_mode","17-16","graphics_display",1,,
"DISPCNT","display_mode","17-16","vram_display",2,,
"DISPCNT","display_mode","17-16","main_memory_display",3,,
"DISPCNT","obj_window",15,"disable",0,,
"DISPCNT","obj_window",15,"enable",1,,
"DISPCNT","window_1",14,"disable",0,,
"DISPCNT","window_1",14,"enable",1,,
"DISPCNT","window_0",13,"disable",0,,
"DISPCNT","window_0",13,"enable",1,,
"DISPCNT","obj",12,"disable",0,,
"DISPCNT","obj",12,"enable",1,,
"DISPCNT","bg3",11,"disable",0,,
"DISPCNT","bg3",11,"enable",1,,
"DISPCNT","bg2",10,"disable",0,,
"DISPCNT","bg2",10,"enable",1,,
"DISPCNT","bg1",9,"disable",0,,
"DISPCNT","bg1",9,"enable",1,,
"DISPCNT","bg0",8,"disable",0,,
"DISPCNT","bg0",8,"enable",1,,
"DISPCNT",,7,"2d_display_forced_blank",1,,
"DISPCNT","bitmap_obj_mapping_mode","6-5","2d_mapping_with_128_horizontal_dots","0b00",,
"DISPCNT","bitmap_obj_mapping_mode","6-5","2d_mapping_with_256_horizontal_dots","0b01",,
"DISPCNT","bitmap_obj_mapping_mode","6-5","1d_mapping","0b10",,
"DISPCNT","character_obj_mapping_mode",4,"2d_mapping",0,,
"DISPCNT","character_obj_mapping_mode",4,"1d_mapping",1,,
"DISPCNT","display_selection_for_bg0",3,"2d_graphics",0,,
"DISPCNT","display_selection_for_bg0",3,"3d_graphics",1,,
"DISPCNT","bg_mode","2-0","text0_text1_text2_text3",0,,
"DISPCNT","bg_mode","2-0","text0_text1_text2_affine3",1,,
"DISPCNT","bg_mode","2-0","text0_text1_affine2_affine3",2,,
"DISPCNT","bg_mode","2-0","text0_text1_text2_extended3",3,,
"DISPCNT","bg_mode","2-0","text0_text1_affine2_extended3",4,,
"DISPCNT","bg_mode","2-0","text0_text1_extended2_extended3",5,,
"DISPCNT","bg_mode","2-0","3d_large_screen_256_color_bitmap",6,,
,,,,,,
"DISPSTAT","v_counter_match_interrupt_request",5,"disable",0,,
"DISPSTAT","v_counter_match_interrupt_request",5,"enable",1,,
"DISPSTAT","h_blank_interrupt_request",4,"disable",0,,
"DISPSTAT","h_blank_interrupt_request",4,"enable",1,,
"DISPSTAT","v_blank_interrupt_request",3,"disable",0,,
"DISPSTAT","v_blank_interrupt_request",3,"enable",1,,
"DISPSTAT","v_counter_match_detection",2,"outside_a_matching_interval",0,,
"DISPSTAT","v_counter_match_detection",2,"during_a_matching_interval",1,,
"DISPSTAT","h_blank_detection",1,"outside_h_blank_interval",0,,
"DISPSTAT","h_blank_detection",1,"during_h_blank_interval",1,,
"DISPSTAT","v_blank_detection",0,"outside_v_blank_interval",0,,
"DISPSTAT","v_blank_detection",0,"during_v_blank_interval",1,,
,,,,,,
"VCOUNT",,"8-0","v_counter_value",,,
,,,,,,
"BG0CNT","screen_size","15-14","256x256","0b00",,
"BG0CNT","screen_size","15-14","512x256","0b01",,
"BG0CNT","screen_size","15-14","256x512","0b10",,
"BG0CNT","screen_size","15-14","512x512","0b11",,
"BG0CNT","bg_extended_palette_slot",13,"slot_0",0,,
"BG0CNT","bg_extended_palette_slot",13,"slot_2",1,,
"BG0CNT",,"12-8","screen_base_block",,"0b11111",
"BG0CNT","color_mode",7,"16_color_mode",0,,
"BG0CNT","color_mode",7,"256_color_mode",1,,
"BG0CNT","mosaic",6,"disable",0,,
"BG0CNT","mosaic",6,"enable",1,,
"BG0CNT",,"5-2","character_base_block",,"0b1111",
"BG0CNT",,"1-0","priority",,"0b11",
,,,,,,
"BG1CNT","screen_size","15-14","256x256","0b00",,
"BG1CNT","screen_size","15-14","512x256","0b01",,
"BG1CNT","screen_size","15-14","256x512","0b10",,
"BG1CNT","screen_size","15-14","512x512","0b11",,
"BG1CNT","bg_extended_palette_slot",13,"slot_1",0,,
"BG1CNT","bg_extended_palette_slot",13,"slot_3",1,,
"BG1CNT",,"12-8","screen_base_block",,"0b11111",
"BG1CNT","color_mode",7,"16_color_mode",0,,
"BG1CNT","color_mode",7,"256_color_mode",1,,
"BG1CNT","mosaic",6,"disable",0,,
"BG1CNT","mosaic",6,"enable",1,,
"BG1CNT",,"5-2","character_base_block",,"0b1111",
"BG1CNT",,"1-0","priority",,"0b11",
,,,,,,
"BG2CNT","screen_size","15-14","256x256","0b00",,
"BG2CNT","screen_size","15-14","512x256","0b01",,
"BG2CNT","screen_size","15-14","256x512","0b10",,
"BG2CNT","screen_size","15-14","512x512","0b11",,
"BG2CNT","out_of_area_processing",13,"transparent_display",0,,
"BG2CNT","out_of_area_processing",13,"wraparound_display",1,,
"BG2CNT",,"12-8","screen_base_block",,"0b11111",
"BG2CNT","color_mode",7,"16_color_mode",0,,
"BG2CNT","color_mode",7,"256_color_mode",1,,
"BG2CNT","mosaic",6,"disable",0,,
"BG2CNT","mosaic",6,"enable",1,,
"BG2CNT",,"5-2","character_base_block",,"0b1111",
"BG2CNT",,"1-0","priority",,"0b11",
,,,,,,
"BG3CNT","screen_size","15-14","256x256","0b00",,
"BG3CNT","screen_size","15-14","512x256","0b01",,
"BG3CNT","screen_size","15-14","256x512","0b10",,
"BG3CNT","screen_size","15-14","512x512","0b11",,
"BG3CNT","out_of_area_processing",13,"transparent_display",0,,
"BG3CNT","out_of_area_processing",13,"wraparound_display",1,,
"BG3CNT",,"12-8","screen_base_block",,"0b11111",
"BG3CNT","color_mode",7,"16_color_mode",0,,
"BG3CNT","color_mode",7,"256_color_mode",1,,
"BG3CNT","mosaic",6,"disable",0,,
"BG3CNT","mosaic",6,"enable",1,,
